feedback coefficients,min-entropy,Lyapunov exponent,"number of 
different states"
"01001000001010	",0.620509,0.01376,8551
"01001010000010	",0.531759,0.018421,8490
"00011010000010	",0.631726,0.073858,8463
"00001100100001	",0.56218,0.102735,8578
"01010001000010	",0.636604,0.077153,8486
"00001101001000	",0.534875,0.097983,8442
"00000101001100	",0.43495,0.076824,7214
"01100000101000	",0.600598,0.072244,8318
"00110001000001	",0.497836,0.08456,8447
"01100001010000	",0.501255,0.09202,8232
"00100110010000	",0.625736,0.08141,8419
"01001001000100	",0.487818,0.100463,8155
"00101000010001	",0.67326,0.06745,8486
"00000001110001	",0.6108,0.068819,8433
"00001000100101	",0.63948,0.068242,8365
"00100110000100	",0.446139,0.093671,8174
"00100000001011	",0.560406,0.039084,8249
"00011010001000	",0.564227,0.107341,8463
"00001101100000	",0.699448,0.093923,8515
"01110000000010	",0.553762,0.081657,8510
"00010100000011	",0.593618,0.093763,8555
"00010001010001	",0.620283,0.087289,8468
"01010100000001	",0.574259,0.081825,8626
"01100010001000	",0.53973,0.055968,8319
"01100010010000	",0.566012,0.082854,8301
"01010001100000	",0.587592,0.059045,8533
"00100010001010	",0.769538,0.094053,8398
"00100000010110	",0.651246,0.087429,8349
"00000100000111	",0.717055,0.099698,8508
"01001100010000	",0.494838,0.087368,8441
"00000000101011	",0.553454,0.095142,8470
"00010001000011	",0.595992,0.079702,8498
"00010101000001	",0.591173,0.056545,8463
"00001110000100	",0.469593,0.086948,7818
"01100000010001	",0.734452,0.083688,8321
"00010011010000	",0.681764,0.09964,8401
"00101100000100	",0.439177,0.053729,8131
"00000010110010	",0.656777,0.068263,8462
"00101001100000	",0.625217,0.079592,8495
"01000011000001	",0.654619,0.087705,8366
"00001001100001	",0.615742,0.043574,8510
"00000101010001	",0.557284,0.065229,8469
"00001010010001	",0.551511,0.087985,8498
"00010011000001	",0.682763,0.074529,8398
"01010100100000	",0.604564,0.096654,8558
"00010010110000	",0.518402,0.082866,8332
"00001010110000	",0.562056,0.088699,8213
"01100100000100	",0.506128,0.098024,8156
"01000000001101	",0.552318,0.059755,8135
"00000011100001	",0.634292,0.069042,8430
"00000011000101	",0.709047,0.079897,8268
"00001101000001	",0.484963,0.100945,8433
"01001001000001	",0.68351,0.092948,8445
"01000100000110	",0.661098,0.099312,8458
"01001000100001	",0.636021,0.101121,8599
"00101010010000	",0.520402,0.093939,8442
"01000000010011	",0.504962,0.098373,8491
"01110000001000	",0.634556,0.061784,8430
"00111000000010	",0.508201,0.056677,8589
"00010001110000	",0.504206,0.087404,8309
"00000110010001	",0.593414,0.083009,8465
"00000010101100	",0.417934,0.079393,6871
"01000010000011	",0.696859,0.09265,8498
"01001000000110	",0.551119,0.078856,8451
"00001001010100	",0.419179,0.100834,7393
"00001001011000	",0.523597,0.040417,8307
"00100101001000	",0.62741,0.105134,8493
"00001111000000	",0.574521,0.065291,8137
"01000000010110	",0.576777,0.070111,8276
"00010001000110	",0.558276,0.096679,7898
"00100110000010	",0.574162,0.104277,8553
"00000011000110	",0.50655,0.063645,8333
"01100101000000	",0.556084,0.081662,8355
"00000000010111	",0.621016,0.059677,8376
"00100001100010	",0.661121,0.062224,8342
"00000011010010	",0.569691,0.063216,8367
"00110100010000	",0.543327,0.058947,8468
"00010001001010	",0.554906,0.098201,8337
"00000001101001	",0.673618,0.081059,8373
"00000001100110	",0.66741,0.088335,8208
"01000010010100	",0.429942,0.087596,7924
"00000010100011	",0.560513,0.101354,8380
"00010000001101	",0.61131,0.073932,8358
"00100001100100	",0.407295,0.079727,7812
"01100100000001	",0.556585,0.094446,8512
"00000110100100	",0.444916,0.096455,7319
"00001000010101	",0.566469,0.081501,8417
"01101000010000	",0.476851,0.067108,8429
"00001000001110	",0.602257,0.110351,8358
"00100100010010	",0.630094,0.084722,8491
"00111001000000	",0.478539,0.064789,8278
"00010000100110	",0.624208,0.096956,7899
"01000000101001	",0.660219,0.067954,8400
"01101000000100	",0.478569,0.090031,8114
"01000000100101	",0.649447,0.090131,8336
"00011110000000	",0.587596,0.06866,8363
"01000110000001	",0.655421,0.100721,8531
"00001011000001	",0.652768,0.074943,8420
"00101000001001	",0.59651,0.082201,8469
"00100011000001	",0.715693,0.081711,8233
"00100110000001	",0.545457,0.079437,8489
"00010100110000	",0.587225,0.074116,8341
"01000000101010	",0.565742,0.096492,8416
"00101000001010	",0.573045,0.072106,8570
"00100011001000	",0.671719,0.043663,8426
"00100010010001	",0.609412,0.059599,8361
"00001100001001	",0.591703,0.097277,8557
"00000001100011	",0.625192,0.103828,8381
"01011000000100	",0.424838,0.094464,8157
"01100000000011	",0.671454,0.0874,8207
"00010011000100	",0.495521,0.08776,8013
